idx,dim,birth,b_x,b_y,b_z,death,d_x,d_y,d_z,val1,val2,matchedidx,radius,matchedbirth,matcheddeath
0,0,47,83,420,0,57,87,353,0,122,121,0,1,43,56.0
1,0,89,397,260,0,101,398,257,0,126,133,1,1,80,90.0
2,0,99,399,252,0,109,399,253,0,133,134,2,1,91,99.0
3,0,20,379,223,0,110,385,227,0,122,154,3,5,13,112.0
4,0,15,222,420,0,187,209,389,0,124,123,4,1,15,186.0
5,0,20,331,360,0,188,323,357,0,137,132,5,1,19,189.0
6,1,181,266,224,0,197,272,222,0,148,135,8,1,173,25.0
7,0,13,43,296,0,203,77,420,0,130,125,6,1,14,202.0
8,0,23,0,252,0,205,0,239,0,120,125,7,1,23,205.0
9,0,10,191,34,0,209,148,38,0,123,132,9,1,10,209.0
10,0,14,0,224,0,211,25,264,0,125,118,11,1,15,210.0
11,0,11,383,121,0,211,376,109,0,120,143,10,1,11,209.0
12,0,84,398,256,0,211,393,272,0,134,138,12,1,73,211.0
13,0,8,368,97,0,212,374,125,0,123,118,13,1,9,212.0
14,0,18,372,310,0,213,361,420,0,138,139,14,1,17,213.0
15,0,36,175,17,0,226,158,21,0,134,131,15,1,34,227.0
16,0,76,51,420,0,228,61,334,0,124,123,16,1,73,228.0
